N°;Année;Ville Org;Département Org;Joueur 1;Joueur 2;Joueur 3;Categorie;Formation;Sexe;Département Représenté;Comité/Ligue Représenté;Ville Représentée;Club Représenté
173;1993;Sarreguemines;57;QUINTAIS Nathalie;QUINTAIS Philippe;;SENIOR;DOUBLETTE;MIXTE;77;Seine & Marne;Barbizon;Star Master's
174;1994;Epinal;88;QUINTAIS Nathalie;QUINTAIS Philippe;;SENIOR;DOUBLETTE;MIXTE;28;Eure & Loire;Hanches;A-S-Hanches
175;1995;Pau;64;LAUER Virginie;BERMOND Camille;;SENIOR;DOUBLETTE;MIXTE;04;Alpes-de-Haute-Provence;St-Auban;U-S-C-A-S-A
176;1996;Lamoura;39;SARDA Martine;SCHATZ Michel;;SENIOR;DOUBLETTE;MIXTE;34;Hérault;Montpellier;Team-Nicollin
177;1997;Nîmes;30;SARDA Martine;SCHATZ Michel;;SENIOR;DOUBLETTE;MIXTE;34;Hérault;Montpellier;Team-Nicollin
178;1998;Villefranche/Saône;69;SARDA Martine;SCHATZ Michel;;SENIOR;DOUBLETTE;MIXTE;34;Hérault;Montpellier;Team-Nicollin
179;1999;Alençon;61;GELIN Nathalie;RADNIC Zvonko;;SENIOR;DOUBLETTE;MIXTE;71;Saone & Loire;Macon;Pétanque Maconnaise
180;2000;Montauban;82;JAUNET Sylvie;SUCHAUD Philippe;;SENIOR;DOUBLETTE;MIXTE;03;Allier;Montluçon;Amicale les Marais
181;2001;Evreux;27;MINERVA Michéle;CORTES Simon;;SENIOR;DOUBLETTE;MIXTE;34;Hérault;Lodève;Boule Sauvage
182;2002;Charleville-Méziéres;8;SIROT Nathalie;CHOUPAY Didier;;SENIOR;DOUBLETTE;MIXTE;77;Seine & Marne;Barbizon;Star Master's
183;2003;Flamanville;50;TERRIEN Pascale;GRANDET Thierry;;SENIOR;DOUBLETTE;MIXTE;33;Gironde;Canéjan;Boule Canejanaise
184;2004;Agen;47;FOULHAC Audrey;FOULHAC Jean-Luc;;SENIOR;DOUBLETTE;MIXTE;46;Lot;Biars/Cere;Pétanque Biarnaise
185;2005;Fort-de-France;972;COLOMBET/PAPON Angélique;XISTO Jean-Michel;;SENIOR;DOUBLETTE;MIXTE;63;Puy-de-Dôme;Ambert;Elite Club Ambert
186;2006;Argenton/Creuse;36;ROCHE Séverine;SUCHAUD Philippe;;SENIOR;DOUBLETTE;MIXTE;06;Alpes Maritimes;Nice;Dépt-Union-Club
187;2007;Niort;79;ROCHE Séverine;SUCHAUD Philippe;;SENIOR;DOUBLETTE;MIXTE;06;Alpes Maritimes;Nice;Dépt-Union-Club
188;2008;Laon;2;DELLA-PIETRA Anne-Marie;QUINTAIS Philippe;;SENIOR;DOUBLETTE;MIXTE;06;Alpes Maritimes;Nice;Dépt-Union-Club
189;2009;Aurillac;15;COLOMBET/PAPON Angélique;RADNIC Zvonko;;SENIOR;DOUBLETTE;MIXTE;63;Puy-de-Dôme;Cournon;Joyeux Cochonnet
190;2010;Flamanville;50;COLOMBET/PAPON Angélique;DURK Maison;;SENIOR;DOUBLETTE;MIXTE;63;Auvergne;Cournon;Joyeux Cochonnet
191;2011;Strasbourg;67;DUBARRY/STOKER Fabienne;LELLOUCHE Kevin;;SENIOR;DOUBLETTE;MIXTE;65;Midi-Pyrénées;Lourdes;E-S Lourdes
192;2012;Espalion;12;SAUNIER Christine;ROCHER Dylan;;SENIOR;DOUBLETTE;MIXTE;6;Alpes Maritimes;Nice;Dépt-Union-Club
193;2013;Trignac;44;COLOMBET/PAPON Angélique;RAYNE Nicolas;;SENIOR;DOUBLETTE;MIXTE;63;Auvergne;Cournon d'Auvergne;J-C Cournon-d'Auvergne
194;2014;Colomiers;31;GOMES Johanna;GAMBERT Alban;;SENIOR;DOUBLETTE;MIXTE;27;Eure;Vernon;Vernon Pétanque
195;2015;Rennes;35;DENAUD Vanessa;LOY Michel;;SENIOR;DOUBLETTE;MIXTE;69;Rhône;Lyon;Pétanque des Canuts
196;2016;Rumilly;74;DARODES Charlotte;FELTAIN Richard;;SENIOR;DOUBLETTE;MIXTE;17;Charente Maritime;Royan;Royan Pétanque
1;1946;Montpellier;34;BIANCOTTO Jean;MERLO Noel ;BEZZA François;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Boule du Pharo
2;1947;Avignon;84;CUTAJAR Clément;VACARRO Armand;FILHOL Pierre;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Lei-Ben-Quia
3;1948;Alès;30;BIANCOTTO Jean;BIENVENUTTI Francis;MAGNANI Triestino;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Boule du Pharo
4;1949;Valence;26;LUCIARDI Auguste;GUGLIELMI Baptiste;RAYNAUD Etienne;SENIOR;TRIPLETTE;MASCULIN;83;Var;Toulon;Boule de Besagne
5;1950;Manosque;4;TASSONE Emile;GAILLARD Léon;CAPONE Louis;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Les Embrouilleurs
6;1951;Toulon;83;GARZINO Joseph;HIDEUX Eugéne;BALDI Alphonse;SENIOR;TRIPLETTE;MASCULIN;83;Var;Toulon;Boule Argentée
7;1952;Nîmes;30;DAUMAS Marcel;MARQUIS Honoré;TICHIT Jean;SENIOR;TRIPLETTE;MASCULIN;84;Vaucluse;Avignon;Boule Carrée St-Lazare
8;1953;Perpignan;66;RUOCCO Gaétan;POULET Gustave;GILLOUX Pierre;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Aix-en-Provence;Boule Aixoise
9;1954;Narbonne;11;MICHEL Raoul;VILLEVIEILLE Louis;RIGAUD Paul;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Aix-en-Provence;Boule Aixoise
10;1955;Cannes;6;MICHEL Raoul;VILLEVIEILLE Louis;RIGAUD PAUL;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Aix-en-Provence;Boule Aixoise
11;1956;Montpellier;34;AIDINIAN Henri;MANOUKIAN Olivier;SAURA Joseph;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Pétanque Coq-Oddo
12;1957;Toulouse;31;AMIEL Marcel;MAGNANI Triestino;BEZZA François;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Zan-Zan Pétanque
13;1958;Valence;26;ARAMA Jo;GALLAND Raymond;OLIVIER Félix;SENIOR;TRIPLETTE;MASCULIN;75;Ile-de-France;Paris;Lou Pitchoun
14;1959;Tarbes;65;AIDINIAN Henri;AUDRY Georges;BERARD Aimé;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marignane;Base Aérienne
15;1960;Clermont-Fd;63;PISAPIA Albert;BELLANTONIO Vincent;BATTESTI Jean;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Pétanque Gazélec
16;1961;Béziers;34;BORSI Serge;BERNARDI Pierre;GALFRE Ernest;SENIOR;TRIPLETTE;MASCULIN;83;Var;St-Raphaël;Amis de la Petite Boule
17;1962;Bordeaux;33;MAYER Jean;HALADJAN Marius;POINT Alexandre;SENIOR;TRIPLETTE;MASCULIN;84;Vaucluse;Orange;Les Pétangueules
18;1963;Lyon;69;BLANC Jules;PALAGGI Marius;FRAIRE Noel;SENIOR;TRIPLETTE;MASCULIN;83;Var;Hyères;Joyeux Boulomanes
19;1964;Epinal;88;GAVINO Maurice;MACAGNO Adolphe;PELLI Alphonse;SENIOR;TRIPLETTE;MASCULIN;06;Alpes Maritimes;Antibes;Pétanque Antiboise
20;1965;Perpignan;66;PAON Jean;SARNITO Marcel;MELIS François;SENIOR;TRIPLETTE;MASCULIN;75;Ile-de-France;Paris;Lou Pitchoun
21;1966;Agen;47;NAUDO Jean;NAUDO Gérard;BAILLS Claude;SENIOR;TRIPLETTE;MASCULIN;66;Languedoc-Roussillon;Canet-en-Roussillon;Canet-Plage-Bouliste
22;1967;Paris;75;NAUDO Jean;NAUDO Gérard;BAILLS Claude;SENIOR;TRIPLETTE;MASCULIN;66;Languedoc-Roussillon;Canet-en-Roussillon;Canet-Plage-Bouliste
23;1968;Toulouse;31;BOURDIN Eric;CHASSON François;REY Alain;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Crau de Chateaurenard;U-S de la Crau
24;1969;Roubaix;59;MACARI René;SALVADOR Denis;BONFORT Raoul;SENIOR;TRIPLETTE;MASCULIN;30;Gard;Nîmes;Boule du Tortoni
25;1970;Vichy;3;PAON Jean;LEBEAU Robert;MATTEI Tiburce;SENIOR;TRIPLETTE;MASCULIN;75;Paris;Paris;Refuge PC Nation
26;1971;Avignon;84;PAON Jean;LEBEAU Robert;MATTEI Tiburce;SENIOR;TRIPLETTE;MASCULIN;75;Paris;Paris;Refuge PC Nation
27;1972;Bordeaux;33;CATUSSE J-Claude;SENEZERGUES René;LAFON Christian;SENIOR;TRIPLETTE;MASCULIN;12;Aveyron;Decazeville;Pétanque-Trépalou
28;1973;Angers;49;KOKOYAN Jean;SANTIAGO J-Joseph Baldo;GARCIA José;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;La Reinette
29;1974;Ajaccio;2A;CALECA Marcel;CALECA Tony;FRITSCH J-Pierre;SENIOR;TRIPLETTE;MASCULIN;83;Var;St-Raphaël;Amis Petite Boule
30;1975;Tours;37;LUCCHESI René;ROUVIERE Serge;CALENZO Claude;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Septêmes les Vallons;Boule Septémoise
31;1976;Perpignan;66;ARCOLAO Ange;FRESCURA Raymond;TINI Elio;SENIOR;TRIPLETTE;MASCULIN;06;Alpes Maritimes;Cannes;A-B-Croisette
32;1977;La Courneuve;93;PAON Jean;LEBEAU Robert;MATTEI Tiburce;SENIOR;TRIPLETTE;MASCULIN;75;Paris;Paris;Refuge PC Nation
33;1978;Brive;19;LUCCHESI René;ROUVIERE Serge;CALENZO Claude;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Septêmes les Vallons;Boule Septémoise
34;1979;Nancy;54;PANCIN Norbert;JAFFUEL Gérard;PALAZON José;SENIOR;TRIPLETTE;MASCULIN;84;Vaucluse;Orange;Boule Atomique
35;1980;Poitiers;86;PANCIN Norbert;JAFFUEL Gérard;PALAZON José;SENIOR;TRIPLETTE;MASCULIN;84;Vaucluse;Orange;Boule Atomique
36;1981;Le Mans;72;CAPPELLO Clovis;DELZERS Jean-Claude;LAGARDE Christian;SENIOR;TRIPLETTE;MASCULIN;82;Tarn & Garonne;Montauban;U-S-Montauban
37;1982;Alès;30;ROUZAUD Henri;CLAUDI François;CUZIOL Alain;SENIOR;TRIPLETTE;MASCULIN;09;Ariège;Varilhes;Boule Amicale St-Michel
38;1983;Toulouse;31;CAPPELLO Clovis;DELZERS Jean-Claude;LAGARDE Christian;SENIOR;TRIPLETTE;MASCULIN;82;Tarn & Garonne;Montauban;U-S-Montauban
39;1984;Bastia;2B;FAZZINO Christian;ROCHELET Alain;VOISIN Daniel;SENIOR;TRIPLETTE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
40;1985;Le Bourget;93;BIDEAU Alain;CHOUPAY Didier;LOPEZE Patrick;SENIOR;TRIPLETTE;MASCULIN;77;Seine & Marne;Brie-Comte-Robert;Pétanque Briarde
41;1986;Angers;49;ARCOLAO Ange;ZANGARELLI Aristide;ARCOLAO Christian;SENIOR;TRIPLETTE;MASCULIN;06;Alpes Maritimes;St-Paul-de-Vence;Pétanque St-Pauloise
42;1987;Lyon;69;PEREZ Serge;LEBRETON Dominique;GIMELLI J-Pierre;SENIOR;TRIPLETTE;MASCULIN;14;Calvados;Caen;A-S-Guériniére
43;1988;Tarbes;65;FOYOT Jean-Marc;LUCCHESI René;LAPIETRA Serge;SENIOR;TRIPLETTE;MASCULIN;84;Vaucluse;Le Pontet;Entente Bouliste
44;1989;Macon;71;FAZZINO Christian;AMBLARD Jean-Luc;VOISIN Daniel;SENIOR;TRIPLETTE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
45;1990;Brive;19;DANIEL Serge;TOURNAY Gérard;MILCOS Patrick;SENIOR;TRIPLETTE;MASCULIN;93;Seine-Saint-Denis;La Courneuve;Union-Pétanque
46;1991;Avignon;84;ROUQUIE Philippe;LAGARDE Jean-Claude;FERRAND J-Michel;SENIOR;TRIPLETTE;MASCULIN;31;Haute-Garonne;Toulouse;Pétanque L'écusson
47;1992;Grenoble;38;MONARD Daniel;ROCHON Christian;RAJCZA Edmond;SENIOR;TRIPLETTE;MASCULIN;48;Lozère;Collet de Déze;Boule Collétaine
48;1993;Nantes;44;REYMOND Gérard;PATRUNO Dominique;FERREIRA François;SENIOR;TRIPLETTE;MASCULIN;63;Puy-de-Dôme;Clermont-Ferrand;Boule Le Central
49;1994;Angoulême;16;BIDEAU Alain;CHOUPAY Didier;CHAGOT Marc;SENIOR;TRIPLETTE;MASCULIN;77;Seine & Marne;Barbizon;Star Master's
50;1995;Brétigny/Orge;91;SIROT Eric;POUZIER Philippe;RASLE J-Claude;SENIOR;TRIPLETTE;MASCULIN;91;Essone;Montgeron;U-P-Montgeron
51;1996;Vichy/Bellerive;63;LOY Michel;CHOUPAY Didier;MILCOS Patrick;SENIOR;TRIPLETTE;MASCULIN;77;Seine & Marne;Barbizon;Star Master's
52;1997;Chartres;28;FOYOT Jean-Marc;SCHATZ Michel;FARRE Joseph;SENIOR;TRIPLETTE;MASCULIN;34;Hérault;Montpellier;Team-Nicollin
53;1998;La Roche/Yon;85;FAZZINO Christian;SUCHAUD Philippe;VELUT Didier;SENIOR;TRIPLETTE;MASCULIN;03;Aliier;Montluçon;Amicale les Marais
54;1999;Lunéville;54;RYPEN Raphael;HERNANDEZ J-Philippe;HERNANDEZ Patrick;SENIOR;TRIPLETTE;MASCULIN;03;Allier;Bellerive/Allier;Pétanque Bellerivoise
55;2000;Nevers;58;FOYOT Jean-Marc;SCHATZ Michel;FARRE Joseph;SENIOR;TRIPLETTE;MASCULIN;34;Hérault;Montpellier;Team-Nicollin
56;2001;Narbonne;11;LACROIX Henri;LECA Robert;MARIN Claude;SENIOR;TRIPLETTE;MASCULIN;83;Var;Hyères;Joyeux Boulomanes
57;2002;Soustons;40;FAZZINO Christian;SUCHAUD Philippe;VOISIN Daniel;SENIOR;TRIPLETTE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
58;2003;Perpignan;66;ROCHER Bruno;LE BOURSICAUD Bruno;LAMOUR Julien;SENIOR;TRIPLETTE;MASCULIN;72;Sarthe;Le Mans;P-A-C Les Sources
59;2004;Toulouse;31;CHAGNEAU Didier;PLANTON Laurent;GRANDET Thierry;SENIOR;TRIPLETTE;MASCULIN;33;Gironde;Bègles;A-P-La Ferrade
60;2005;Marseille;13;FAZZINO Christian;RYPEN Raphael;PERRIN Frédéric;SENIOR;TRIPLETTE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
61;2006;Limoges;87;QUINTAIS Philippe;LACROIX Henri;SUCHAUD Philippe;SENIOR;TRIPLETTE;MASCULIN;06;Alpes Maritimes;Nice;Dépt-Union-Club
62;2007;Dijon;21;LAGARDE Christian;PHALIPPOT Alain;DELFORGE Stéphane;SENIOR;TRIPLETTE;MASCULIN;81;Midi-Pyrénées;Gaillac;Boule d'Or
63;2008;Clermont-Ferrand;63;QUINTAIS Philippe;LACROIX Henri;SUCHAUD Philippe;SENIOR;TRIPLETTE;MASCULIN;06;Alpes Maritimes;Nice;Dépt-Union-Club
64;2009;Caen;14;QUINTAIS Philippe;LACROIX Henri;SUCHAUD Philippe;SENIOR;TRIPLETTE;MASCULIN;06;Alpes Maritimes;Nice;Dépt-Union-Club
65;2010;Nice;6;QUINTAIS Philippe;LACROIX Henri;SUCHAUD Philippe;SENIOR;TRIPLETTE;MASCULIN;06;Alpes Maritimes;Nice;Dépt-Union-Club
66;2011;Soustons;40;DARODES James;DARODES Jeremy;SEVILLA Christophe;SENIOR;TRIPLETTE;MASCULIN;27;Haute-Normandie;Damville;A-B Damvilloise
67;2012;Roanne;42;LE DANTEC David;LE BOURGEOIS Stéphane;WEIBEL Charles;SENIOR;TRIPLETTE;MASCULIN;57;Moselle;Metz;Metz Ronde Pétanque
68;2013;Béziers;34;LUCIEN Emmanuel;QUINTAIS Philippe;SUCHAUD Philippe;SENIOR;TRIPLETTE;MASCULIN;28;Centre;Dreux;Dreux Pétanque
69;2014;Brive;19;BERLIER Stéphane;ROUQUIE Philippe;FERRAND Jean-Michel;SENIOR;TRIPLETTE;MASCULIN;31;Midi-Pyrénées;Colomiers;B-J Colomiers
70;2015;Narbonne;11;BARRE Fabien;NEXON Dylan;SOLANA Sacha;SENIOR;TRIPLETTE;MASCULIN;9;Ariège;Ax-les-Thermes;Petanque Axéenne
71;2016;Montauban;82;FOURNIE Romain;MONTORO Ludovic;HATCHADOURIAN Michel;SENIOR;TRIPLETTE;MASCULIN;83;P.A.C.A;Draguignan;A-B-C Draguignan
72;1970;Montauban;82;RUFFA Dominique;BARBIERI Jean-Pierre;;SENIOR;DOUBLETTE;MASCULIN;54;Meurthe & Moselle;Trieux;S-C-Trieux
73;1971;Cannes;6;LATRUFFE Jean-Pierre;BERTRAND Jean-Claude;;SENIOR;DOUBLETTE;MASCULIN;10;Aube;St-André-les-Vergers;Boule Dryate
74;1972;Roubaix;59;BROCCA Pierre;SIMON Charles;;SENIOR;DOUBLETTE;MASCULIN;13;Bouches-du-Rhone;Gémenos;Boule Gémenosienne
75;1973;Le Mans;72;CHASTILLON Auguste;MONTERO Joseph;;SENIOR;DOUBLETTE;MASCULIN;04;Alpes-de-Haute-Provence;St-Auban;U-S-C-A-S-A
76;1974;Orléans;45;AMROUCHE Jean-Claude;SARNITO Marcel;;SENIOR;DOUBLETTE;MASCULIN;75;Paris;Paris;Pétanque-Club-XVIéme
77;1975;Clermont-Ferrand;63;PAON Jean;LEBEAU Robert;;SENIOR;DOUBLETTE;MASCULIN;75;Paris;Paris;Refuge P-C-Nation
78;1976;Poitiers;86;MARCO Roger;MARIGOT Roger;;SENIOR;DOUBLETTE;MASCULIN;34;Hérault;Béziers;Boule Moderne
79;1977;Toulouse;31;LAGARDE Guy;CAPPELLO Clovis;;SENIOR;DOUBLETTE;MASCULIN;82;Tarn & Garonne;Montauban;U-S-Montauban
80;1978;Bagneux;92;MUDJEREDIAN Jean;MARTINEZ Pierre;;SENIOR;DOUBLETTE;MASCULIN;75;Paris;Paris;Les Epinettes
81;1979;Mulhouse;68;REGOUFFRE Guy;WIDEMAN Georges;;SENIOR;DOUBLETTE;MASCULIN;33;Gironde;Pessac;Verthamon
82;1980;Perpignan;66;FOYOT Jean-Marc;STEFANI Antoine;;SENIOR;DOUBLETTE;MASCULIN;75;Paris;Paris;Pétanque-Club-XVIème
83;1981;Pau;64;MORALDO Fernand;UHLMAN Jean;;SENIOR;DOUBLETTE;MASCULIN;84;Vaucluse;Avignon;Rallye Boule
84;1982;Chambéry;73;BOYER de la GIRODAY Arnaud;TREBOSC Yves;;SENIOR;DOUBLETTE;MASCULIN;94;Val-de-Marne;Charenton;E-B-Charentonnaise
85;1983;Dunkerque;59;BINET Thierry;PEDRON Yves;;SENIOR;DOUBLETTE;MASCULIN;44;Loire-Atlantique;Trignac;Trignac Olympique Pét 13
86;1984;Montpellier;34;FAZZINO Christian;VOISIN Daniel;;SENIOR;DOUBLETTE;MASCULIN;03;Allier;Montluçon;Amicale Les Marais
87;1985;Limoges;87;CHATELAIN Pascal;ROCHER Christian;;SENIOR;DOUBLETTE;MASCULIN;78;Yvelines;Sartrouville;Amicale Sartrouville
88;1986;Albi;81;KASSI Patrick;FRAGNOUD Patrick;;SENIOR;DOUBLETTE;MASCULIN;38;Isère;Péage-Roussillon;Pét  Roussillonnaise
89;1987;Vichy;3;LEBRETON Dominique;PEREZ Serge;;SENIOR;DOUBLETTE;MASCULIN;14;Calvados;Caen;A-S-Guériniére
90;1988;Brest;29;LAGARDE Guy;CAMPS Max;;SENIOR;DOUBLETTE;MASCULIN;47;Lot & Garonne;Agen;Pétanque du Gravier
91;1989;Epinal;88;CHAPELAND Wilfrid;LOZANO André;;SENIOR;DOUBLETTE;MASCULIN;69;Rhone;Oullins;Frat' Oullins
92;1990;Cannet-Rocheville;6;LOY Michel;LESAGE Thierry;;SENIOR;DOUBLETTE;MASCULIN;75;Paris;Paris;Assemblée Nationale
93;1991;Reims;51;CHAUSSEPIED Didier;ROBION Jacques;;SENIOR;DOUBLETTE;MASCULIN;44;Loire-Atlantique;Nantes;ASPTT
94;1992;Nevers;58;ROBERT Jean-Luc;MORILLON Laurent;;SENIOR;DOUBLETTE;MASCULIN;86;Vienne;Poitiers;Pétanque-Montmidi
95;1993;St-Saulve;59;RADNIC Zvonko;MILEI Pascal;;SENIOR;DOUBLETTE;MASCULIN;71;Saone & Loire;Macon;Pétanque Maconnaise
96;1994;St-Avold;57;GRAS Patrick;LESAGE Thierry;;SENIOR;DOUBLETTE;MASCULIN;92;Hauts-de-Seine;Gennevilliers;Charly Pétanque
97;1995;Annecy;74;SUCHAUD Philippe;VOISIN Daniel;;SENIOR;DOUBLETTE;MASCULIN;03;Allier;Montluçon;Amicale Les Marais
98;1996;Rosny/Bois;93;FOUILHE Max;LE LONS Jean-Pierre;;SENIOR;DOUBLETTE;MASCULIN;77;Seine & Marne;Melun;Union-Sportive-Melun
99;1997;Melun;77;HERVO Patrick;THOREL Gérard;;SENIOR;DOUBLETTE;MASCULIN;44;Loire-Atlantique;St-Nazaire;Pét Omnisport (SNOS)
100;1998;Chambon/Voueize;23;HUREAU Christophe;HUREAU Damien;;SENIOR;DOUBLETTE;MASCULIN;49;Maine & Loire;Angers;La Rafle
101;1999;Belfort;90;ROBERT Jean-Luc;QUINTAIS Philippe;;SENIOR;DOUBLETTE;MASCULIN;28;Eure & Loire;Hanches;A-S-Hanches
102;2000;Thiais;94;PETIT Laurent;TREMBLEAU Christophe;;SENIOR;DOUBLETTE;MASCULIN;45;Loiret;Sully/Loire;C-S-M-Sullylois
103;2001;Aurillac;15;DUBREUIL Sylvain;ROUSSEAU Sébastien;;SENIOR;DOUBLETTE;MASCULIN;94;Val-de-Marne;Fresnes;Assoc-Amicale-Sportive
104;2002;Cournon d'Auvergne;63;LE BOURSICAUD Bruno;ROCHER Bruno;;SENIOR;DOUBLETTE;MASCULIN;72;Sarthe;Le Mans;P-A-C des Sources
105;2003;Dijon;21;RIVIERE Fernand;CANO Antoine;;SENIOR;DOUBLETTE;MASCULIN;06;Alpes Maritimes;Nice;Pétanque Arson
106;2004;Nevers;58;CORTES Simon;MARAVAL Jean-Claude;;SENIOR;DOUBLETTE;MASCULIN;34;Herault;Montpellier;Team-Nicollin
107;2005;Caen;14;LE BOURSICAUD Bruno;ROCHER Bruno;;SENIOR;DOUBLETTE;MASCULIN;72;Sarthe;Le Mans;Club-Rocher-Pétanque
108;2006;Belfort;90;FOYOT Jean-Marc;MILEI Pascal;;SENIOR;DOUBLETTE;MASCULIN;63;Puy-de-Dôme;Ambert;Elite Club Ambert
109;2007;St-Louis;68;QUINTAIS Philippe;LACROIX Henri;;SENIOR;DOUBLETTE;MASCULIN;06;Alpes Maritimes;Nice;Dépt-Union-Club
110;2008;Bourg St-Andéol;7;MALBEC Kévin;GROSS André;;SENIOR;DOUBLETTE;MASCULIN;95;Ile-de-France;Goussainville;Pétanque  Goussaivilloise
111;2009;Aurillac;15;MALBEC Kévin;GROSS André;;SENIOR;DOUBLETTE;MASCULIN;95;Ile-de-France;Goussainville;Pétanque  Goussaivilloise
112;2010;Bruay/Escaut;59;DARODES Jérémy ;SEVILLA Christophe;;SENIOR;DOUBLETTE;MASCULIN;27;Haute-Normandie;Damville;A-B Damvilloise
113;2011;Rennes;35;ROBINEAU Stéphane;ROCHER Dylan;;SENIOR;DOUBLETTE;MASCULIN;72;Sarthe;Le Mans;Club Rocher Le Mans
114;2012;Guéret;23;DIOT Richard;BESNARD Mickaël;;SENIOR;DOUBLETTE;MASCULIN;36;Indre;Châteauroux;Stars Pétanque Castelroussine
115;2013;Sassenage;38;FAZZINO Christian;OLMOS Denis;;SENIOR;DOUBLETTE;MASCULIN;3;Auvergne;Montluçon;Amicale Les Marais
116;2014;Saint-Avold;57;LACROIX Henri;LE BOURSICAUD Bruno;;SENIOR;DOUBLETTE;MASCULIN;69;Rhône;Lyon;Petanque des Canuts
117;2015;Pau;64;SAVIN Angy;DURK Maison;;SENIOR;DOUBLETTE;MASCULIN;63;Puy-de-Dôme;Arlanc;Petanque Arlançoise
118;2016;Lanester;56;ROCHER Dylan;LACROIX Henri;;SENIOR;DOUBLETTE;MASCULIN;83;Var;Draguignan;A-B-C Draguignan
119;1966;Paris;75;ARCOLAO Ange;;;SENIOR;TETE A TETE;MASCULIN;06;Alpes Maritimes;Cagnes/mer;U-S-Cagnes
120;1967;St-Etienne;42;DEJEAN Daniel;;;SENIOR;TETE A TETE;MASCULIN;09;Ariège;Pamiers;Millane-Pétanque
121;1968;Espalion;12;PHILIPOT Henri;;;SENIOR;TETE A TETE;MASCULIN;40;Landes;Mont-de-Marsan;Stade-Montois-Pétanque
122;1969;Nevers;58;BALDI Alphonse;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Toulon;Boule Provençale
123;1970;Montauban;82;LEGLISE Ernest;;;SENIOR;TETE A TETE;MASCULIN;06;Alpes Maritimes;St-Paul-de-Vence;Pétanque St-Pauloise
124;1971;Cannes;6;GINDRAUD Guy;;;SENIOR;TETE A TETE;MASCULIN;16;Charente;Cognac;Joyeux Boulistes
125;1972;Roubaix;59;GOUGES François;;;SENIOR;TETE A TETE;MASCULIN;66;Pyrénées-Orientales;Banyuls;Pétanque Banyulenque
126;1973;Le Mans;72;TRAWINSKI Jean;;;SENIOR;TETE A TETE;MASCULIN;30;Gard;Bagnols/Cèze;A-S-C-E-A-M
127;1974;Orléans;45;MORALES José;;;SENIOR;TETE A TETE;MASCULIN;65;Hautes-Pyrénées;Tarbes;Les Aiglons
128;1975;Clermont-Ferrand;63;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
129;1976;Poitiers;86;GINIER Claude;;;SENIOR;TETE A TETE;MASCULIN;04;Alpes-de-Haute-Provence;Digne;Boule Dignoise
130;1977;Toulouse;31;GOUGES François;;;SENIOR;TETE A TETE;MASCULIN;66;Pyrénées-Orientales;Banyuls;Pétanque Banyulenque
131;1978;Bagneux;92;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
132;1979;Mulhouse;68;VALISSANT Dominique;;;SENIOR;TETE A TETE;MASCULIN;02;Aisne;Laon;Pétanque Laonnoise
133;1980;Perpignan;66;COULOMB René;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Fréjus;ASPTT Fréjus
134;1981;Pau;64;COULOMB René;;;SENIOR;TETE A TETE;MASCULIN;83;Var;Fréjus;ASPTT Fréjus
135;1982;Chambéry;73;FAZZINO Christian;;;SENIOR;TETE A TETE;MASCULIN;03;Allier;Montluçon;Amicale les Marais
136;1983;Dunkerque;59;COMBARNOUS Christian;;;SENIOR;TETE A TETE;MASCULIN;67;Bas-Rhin;Strasbourg;Club-Bouliste-Strasbourg
137;1984;Montpellier;34;LOIZE Maurice;;;SENIOR;TETE A TETE;MASCULIN;02;Aisne;Laon;Pétanque La Neuvilloise
138;1985;Limoges;87;LACAS André;;;SENIOR;TETE A TETE;MASCULIN;84;Vaucluse;Sorgues;Entente-Bouliste-Sorgues
